,ISO Code,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
21,ARM,Armenia,Lower,3610.0,1791.0,976.0,939.0,701.0,440.0
22,,Armenia,Median,3975.0,1978.0,1087.0,1073.0,831.0,577.0
23,,Armenia,Upper,4393.0,2186.0,1206.0,1204.0,988.0,753.0
30,AZE,Azerbaijan,Lower,17541.0,15154.0,8501.0,5631.0,4670.0,4461.0
31,,Azerbaijan,Median,19508.0,16862.0,9630.0,6737.0,6327.0,7206.0
32,,Azerbaijan,Upper,21654.0,18716.0,10913.0,7951.0,8524.0,11981.0
192,GEO,Georgia,Lower,4024.0,2857.0,1649.0,1254.0,934.0,566.0
193,,Georgia,Median,4497.0,3209.0,1863.0,1391.0,1026.0,673.0
194,,Georgia,Upper,4993.0,3609.0,2118.0,1513.0,1117.0,844.0
261,KAZ,Kazakhstan,Lower,19185.0,12267.0,8509.0,8607.0,7681.0,4763.0
262,,Kazakhstan,Median,21046.0,13479.0,9335.0,9324.0,7944.0,5528.0
263,,Kazakhstan,Upper,23123.0,14854.0,10178.0,10084.0,8206.0,6409.0
540,TKM,Turkmenistan,Lower,10228.0,9529.0,6401.0,5957.0,3608.0,2917.0
541,,Turkmenistan,Median,11957.0,11053.0,7679.0,8359.0,6178.0,5868.0
542,,Turkmenistan,Upper,13895.0,12806.0,9183.0,11305.0,9969.0,11119.0
567,UZB,Uzbekistan,Lower,45456.0,37979.0,29821.0,20085.0,16928.0,12687.0
568,,Uzbekistan,Median,51689.0,43120.0,34947.0,29320.0,30123.0,26205.0
569,,Uzbekistan,Upper,58533.0,49095.0,41240.0,41581.0,51957.0,54880.0
