,ISO Code,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
105,CHN,China,Lower,1503112.0,758604.0,551690.0,380819.0,236021.0,151856.0
106,,China,Median,1633808.0,809206.0,585027.0,406101.0,251554.0,181574.0
107,,China,Upper,1789582.0,862857.0,622283.0,431789.0,268529.0,216426.0
138,PRK,Democratic People's Republic of Korea,Lower,12281.0,25861.0,18596.0,9829.0,8272.0,7238.0
139,,Democratic People's Republic of Korea,Median,15784.0,33397.0,23970.0,12607.0,10613.0,9271.0
140,,Democratic People's Republic of Korea,Upper,20418.0,43460.0,31106.0,16276.0,13688.0,11947.0
255,JPN,Japan,Lower,7623.0,6619.0,5216.0,4055.0,3389.0,2731.0
256,,Japan,Median,7732.0,6771.0,5316.0,4080.0,3461.0,2834.0
257,,Japan,Upper,7914.0,6886.0,5420.0,4208.0,3535.0,3010.0
339,MNG,Mongolia,Lower,7284.0,4022.0,2758.0,1818.0,1610.0,1147.0
340,,Mongolia,Median,7930.0,4398.0,3029.0,2053.0,1946.0,1581.0
341,,Mongolia,Upper,8649.0,4829.0,3340.0,2310.0,2333.0,2128.0
417,KOR,Republic of Korea,Lower,4045.0,4207.0,3219.0,2847.0,1989.0,1461.0
418,,Republic of Korea,Median,4100.0,4282.0,3275.0,2882.0,2019.0,1559.0
419,,Republic of Korea,Upper,4203.0,4370.0,3346.0,2955.0,2069.0,1712.0
