,ISO Code,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
0,AFG,Afghanistan,Lower,89502.0,104654.0,114365.0,113022.0,99599.0,71044.0
1,,Afghanistan,Median,100437.0,116169.0,125616.0,124798.0,114576.0,94261.0
2,,Afghanistan,Upper,113444.0,128658.0,138701.0,139478.0,132926.0,125189.0
39,BGD,Bangladesh,Lower,511390.0,396718.0,305648.0,223475.0,148254.0,102531.0
40,,Bangladesh,Median,527587.0,410610.0,316983.0,232606.0,157890.0,119326.0
41,,Bangladesh,Upper,545412.0,425306.0,328842.0,242358.0,167838.0,138678.0
57,BTN,Bhutan,Lower,2407.0,1549.0,1137.0,769.0,525.0,300.0
58,,Bhutan,Median,2752.0,1741.0,1263.0,862.0,638.0,414.0
59,,Bhutan,Upper,3167.0,1960.0,1404.0,968.0,768.0,566.0
231,IND,India,Lower,3236313.0,2832096.0,2419099.0,1958264.0,1502976.0,1062748.0
232,,India,Median,3357317.0,2938944.0,2513120.0,2044482.0,1595122.0,1200998.0
233,,India,Upper,3481395.0,3053720.0,2613755.0,2138866.0,1690804.0,1347862.0
312,MDV,Maldives,Lower,768.0,505.0,252.0,131.0,86.0,55.0
313,,Maldives,Median,851.0,561.0,281.0,143.0,93.0,67.0
314,,Maldives,Upper,938.0,620.0,311.0,155.0,99.0,82.0
360,NPL,Nepal,Lower,91543.0,74543.0,57080.0,37797.0,24960.0,15553.0
361,,Nepal,Median,97907.0,79912.0,61512.0,41556.0,28848.0,19900.0
362,,Nepal,Upper,104739.0,85485.0,66171.0,45432.0,33413.0,25478.0
387,PAK,Pakistan,Lower,570019.0,512690.0,474189.0,410215.0,421219.0,341020.0
388,,Pakistan,Median,592722.0,534584.0,496972.0,435282.0,470193.0,431568.0
389,,Pakistan,Upper,617769.0,557327.0,520506.0,463445.0,531204.0,551010.0
489,LKA,Sri Lanka,Lower,7097.0,7091.0,5368.0,5078.0,3788.0,2836.0
490,,Sri Lanka,Median,7241.0,7236.0,5464.0,5181.0,3912.0,3091.0
491,,Sri Lanka,Upper,7402.0,7367.0,5579.0,5306.0,4039.0,3339.0
