,ISO Code,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
72,BRN,Brunei Darussalam,Lower,81.0,77.0,60.0,53.0,51.0,66.0
73,,Brunei Darussalam,Median,86.0,82.0,64.0,57.0,55.0,77.0
74,,Brunei Darussalam,Upper,92.0,87.0,68.0,61.0,58.0,89.0
87,KHM,Cambodia,Lower,37988.0,42763.0,31988.0,19656.0,13788.0,6978.0
88,,Cambodia,Median,41249.0,46309.0,34884.0,22042.0,16171.0,10257.0
89,,Cambodia,Upper,44723.0,50238.0,38398.0,24703.0,19143.0,14929.0
234,IDN,Indonesia,Lower,376269.0,296002.0,218637.0,175935.0,140027.0,121441.0
235,,Indonesia,Median,395094.0,310299.0,230082.0,187380.0,154266.0,147162.0
236,,Indonesia,Upper,414367.0,325711.0,242625.0,200097.0,170415.0,178456.0
309,MYS,Malaysia,Lower,8053.0,7226.0,5515.0,3921.0,3391.0,3385.0
310,,Malaysia,Median,8267.0,7345.0,5648.0,4023.0,3484.0,3793.0
311,,Malaysia,Upper,8484.0,7507.0,5732.0,4075.0,3547.0,4279.0
351,MMR,Myanmar,Lower,109790.0,95100.0,86073.0,72383.0,49101.0,34744.0
352,,Myanmar,Median,120691.0,103524.0,93816.0,81345.0,59301.0,46284.0
353,,Myanmar,Upper,133542.0,113158.0,102647.0,91584.0,70972.0,61171.0
405,PHL,Philippines,Lower,110467.0,89108.0,83311.0,77951.0,62591.0,49421.0
406,,Philippines,Median,118360.0,95970.0,90148.0,85393.0,71913.0,65613.0
407,,Philippines,Upper,126465.0,103269.0,97287.0,93652.0,82586.0,86538.0
465,SGP,Singapore,Lower,343.0,319.0,169.0,133.0,138.0,116.0
466,,Singapore,Median,358.0,337.0,180.0,140.0,145.0,145.0
467,,Singapore,Upper,371.0,350.0,188.0,151.0,157.0,179.0
516,THA,Thailand,Lower,37298.0,26251.0,17635.0,12517.0,8360.0,5712.0
517,,Thailand,Median,40293.0,29375.0,20439.0,15459.0,11476.0,9173.0
518,,Thailand,Upper,43133.0,32032.0,23197.0,19151.0,16039.0,14963.0
522,TLS,Timor-Leste,Lower,4326.0,4721.0,3913.0,2404.0,1564.0,1800.0
523,,Timor-Leste,Median,4838.0,5186.0,4318.0,2728.0,1947.0,2642.0
524,,Timor-Leste,Upper,5428.0,5706.0,4763.0,3099.0,2392.0,3865.0
576,VNM,Viet Nam,Lower,91230.0,71011.0,38942.0,40034.0,36989.0,32809.0
577,,Viet Nam,Median,98623.0,77187.0,43093.0,42642.0,38200.0,34191.0
578,,Viet Nam,Upper,107222.0,83556.0,46812.0,45715.0,39663.0,35780.0
