,ISO Code,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
30,AZE,Azerbaijan,Lower,17541.0,15154.0,8501.0,5631.0,4670.0,4461.0
31,,Azerbaijan,Median,19508.0,16862.0,9630.0,6737.0,6327.0,7206.0
32,,Azerbaijan,Upper,21654.0,18716.0,10913.0,7951.0,8524.0,11981.0
132,CYP,Cyprus,Lower,147.0,124.0,78.0,53.0,43.0,27.0
133,,Cyprus,Median,156.0,132.0,84.0,57.0,47.0,35.0
134,,Cyprus,Upper,165.0,141.0,89.0,62.0,52.0,45.0
192,GEO,Georgia,Lower,4024.0,2857.0,1649.0,1254.0,934.0,566.0
193,,Georgia,Median,4497.0,3209.0,1863.0,1391.0,1026.0,673.0
194,,Georgia,Upper,4993.0,3609.0,2118.0,1513.0,1117.0,844.0
240,IRQ,Iraq,Lower,32114.0,32268.0,33943.0,32442.0,33839.0,29452.0
241,,Iraq,Median,35205.0,35153.0,37178.0,36252.0,39743.0,38682.0
242,,Iraq,Upper,38510.0,38405.0,40768.0,40688.0,46766.0,50784.0
258,JOR,Jordan,Lower,3821.0,4128.0,3777.0,3272.0,3188.0,2707.0
259,,Jordan,Median,4101.0,4421.0,4103.0,3660.0,3788.0,3670.0
260,,Jordan,Upper,4381.0,4745.0,4469.0,4101.0,4534.0,4966.0
270,KWT,Kuwait,Lower,723.0,465.0,555.0,505.0,742.0,542.0
271,,Kuwait,Median,749.0,479.0,573.0,518.0,763.0,598.0
272,,Kuwait,Upper,773.0,494.0,588.0,535.0,783.0,656.0
282,LBN,Lebanon,Lower,1856.0,1579.0,1038.0,685.0,331.0,471.0
283,,Lebanon,Median,2066.0,1784.0,1226.0,881.0,506.0,835.0
284,,Lebanon,Upper,2311.0,2019.0,1453.0,1134.0,759.0,1416.0
384,OMN,Oman,Lower,2366.0,1367.0,806.0,614.0,775.0,851.0
385,,Oman,Median,2701.0,1554.0,918.0,667.0,799.0,935.0
386,,Oman,Upper,3101.0,1766.0,1047.0,728.0,820.0,1020.0
414,QAT,Qatar,Lower,187.0,142.0,140.0,135.0,152.0,204.0
415,,Qatar,Median,201.0,149.0,148.0,141.0,159.0,226.0
416,,Qatar,Upper,217.0,156.0,155.0,149.0,167.0,250.0
450,SAU,Saudi Arabia,Lower,20105.0,13576.0,11521.0,9199.0,7550.0,5382.0
451,,Saudi Arabia,Median,25049.0,16941.0,13110.0,10952.0,10644.0,9002.0
452,,Saudi Arabia,Upper,31151.0,20193.0,14840.0,12607.0,15644.0,16064.0
510,SYR,Syrian Arab Republic,Lower,15165.0,12069.0,11156.0,8075.0,6871.0,3977.0
511,,Syrian Arab Republic,Median,16548.0,13143.0,12162.0,8947.0,8078.0,5515.0
512,,Syrian Arab Republic,Upper,17970.0,14253.0,13195.0,9924.0,9680.0,7733.0
537,TUR,Turkey,Lower,96704.0,69603.0,51121.0,32982.0,23613.0,17637.0
538,,Turkey,Median,103590.0,74972.0,55723.0,36060.0,24984.0,18936.0
539,,Turkey,Upper,111554.0,81413.0,61080.0,39434.0,26556.0,20301.0
552,ARE,United Arab Emirates,Lower,646.0,505.0,534.0,569.0,754.0,586.0
553,,United Arab Emirates,Median,761.0,572.0,563.0,583.0,773.0,661.0
554,,United Arab Emirates,Upper,890.0,654.0,600.0,603.0,794.0,753.0
579,YEM,Yemen,Lower,70096.0,72167.0,57563.0,48486.0,37156.0,26355.0
580,,Yemen,Median,74895.0,77473.0,62568.0,53525.0,42829.0,34351.0
581,,Yemen,Upper,80022.0,82877.0,67977.0,58791.0,49614.0,44841.0
