,ISO Code,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
0,AFG,Afghanistan,Lower,89502.0,104654.0,114365.0,113022.0,99599.0,71044.0
1,,Afghanistan,Median,100437.0,116169.0,125616.0,124798.0,114576.0,94261.0
2,,Afghanistan,Upper,113444.0,128658.0,138701.0,139478.0,132926.0,125189.0
3,ALB,Albania,Lower,2980.0,1893.0,1180.0,637.0,356.0,345.0
4,,Albania,Median,3388.0,2140.0,1380.0,823.0,540.0,618.0
5,,Albania,Upper,3822.0,2429.0,1620.0,1065.0,827.0,1109.0
6,DZA,Algeria,Lower,35982.0,29734.0,22572.0,21389.0,24209.0,23027.0
7,,Algeria,Median,38686.0,31629.0,23109.0,21835.0,24683.0,24269.0
8,,Algeria,Upper,41564.0,33743.0,23647.0,22238.0,25199.0,25510.0
9,AND,Andorra,Lower,3.0,3.0,2.0,2.0,2.0,1.0
10,,Andorra,Median,4.0,4.0,3.0,3.0,2.0,2.0
11,,Andorra,Upper,8.0,6.0,4.0,3.0,3.0,4.0
12,AGO,Angola,Lower,107506.0,124643.0,135653.0,138614.0,123104.0,98714.0
13,,Angola,Median,122452.0,141489.0,156943.0,173722.0,178123.0,169310.0
14,,Angola,Upper,141208.0,162053.0,182334.0,215039.0,253156.0,291804.0
15,ATG,Antigua and Barbuda,Lower,20.0,21.0,22.0,17.0,12.0,8.0
16,,Antigua and Barbuda,Median,29.0,24.0,25.0,19.0,15.0,12.0
17,,Antigua and Barbuda,Upper,41.0,28.0,27.0,21.0,18.0,18.0
18,ARG,Argentina,Lower,20012.0,16487.0,13772.0,12643.0,10456.0,8465.0
19,,Argentina,Median,20410.0,16811.0,14023.0,12904.0,10681.0,9513.0
20,,Argentina,Upper,20797.0,17138.0,14307.0,13141.0,10875.0,10681.0
21,ARM,Armenia,Lower,3610.0,1791.0,976.0,939.0,701.0,440.0
22,,Armenia,Median,3975.0,1978.0,1087.0,1073.0,831.0,577.0
23,,Armenia,Upper,4393.0,2186.0,1206.0,1204.0,988.0,753.0
24,AUS,Australia,Lower,2230.0,1811.0,1514.0,1441.0,1440.0,1044.0
25,,Australia,Median,2281.0,1848.0,1532.0,1458.0,1478.0,1146.0
26,,Australia,Upper,2317.0,1882.0,1573.0,1497.0,1501.0,1228.0
27,AUT,Austria,Lower,744.0,644.0,399.0,380.0,325.0,260.0
28,,Austria,Median,765.0,662.0,412.0,395.0,341.0,288.0
29,,Austria,Upper,786.0,687.0,428.0,410.0,352.0,320.0
30,AZE,Azerbaijan,Lower,17541.0,15154.0,8501.0,5631.0,4670.0,4461.0
31,,Azerbaijan,Median,19508.0,16862.0,9630.0,6737.0,6327.0,7206.0
32,,Azerbaijan,Upper,21654.0,18716.0,10913.0,7951.0,8524.0,11981.0
33,BHS,Bahamas,Lower,119.0,119.0,77.0,81.0,75.0,53.0
34,,Bahamas,Median,125.0,126.0,82.0,87.0,85.0,70.0
35,,Bahamas,Upper,131.0,133.0,87.0,92.0,95.0,92.0
36,BHR,Bahrain,Lower,319.0,222.0,157.0,156.0,143.0,117.0
37,,Bahrain,Median,331.0,231.0,164.0,164.0,151.0,135.0
38,,Bahrain,Upper,342.0,240.0,172.0,171.0,158.0,155.0
39,BGD,Bangladesh,Lower,511390.0,396718.0,305648.0,223475.0,148254.0,102531.0
40,,Bangladesh,Median,527587.0,410610.0,316983.0,232606.0,157890.0,119326.0
41,,Bangladesh,Upper,545412.0,425306.0,328842.0,242358.0,167838.0,138678.0
42,BRB,Barbados,Lower,67.0,56.0,54.0,56.0,44.0,34.0
43,,Barbados,Median,72.0,60.0,58.0,60.0,49.0,44.0
44,,Barbados,Upper,77.0,65.0,62.0,65.0,55.0,58.0
45,BLR,Belarus,Lower,2439.0,1786.0,1288.0,887.0,629.0,509.0
46,,Belarus,Median,2495.0,1832.0,1322.0,912.0,659.0,567.0
47,,Belarus,Upper,2555.0,1869.0,1360.0,942.0,683.0,621.0
48,BEL,Belgium,Lower,1150.0,908.0,620.0,583.0,571.0,481.0
49,,Belgium,Median,1175.0,923.0,637.0,604.0,590.0,522.0
50,,Belgium,Upper,1201.0,951.0,654.0,616.0,605.0,584.0
51,BLZ,Belize,Lower,221.0,183.0,179.0,156.0,133.0,116.0
52,,Belize,Median,251.0,205.0,191.0,163.0,141.0,138.0
53,,Belize,Upper,285.0,229.0,204.0,172.0,150.0,165.0
54,BEN,Benin,Lower,36498.0,37316.0,37866.0,36049.0,32786.0,28856.0
55,,Benin,Median,39154.0,40092.0,40947.0,39940.0,38710.0,37092.0
56,,Benin,Upper,42048.0,43025.0,44366.0,43846.0,44502.0,48064.0
57,BTN,Bhutan,Lower,2407.0,1549.0,1137.0,769.0,525.0,300.0
58,,Bhutan,Median,2752.0,1741.0,1263.0,862.0,638.0,414.0
59,,Bhutan,Upper,3167.0,1960.0,1404.0,968.0,768.0,566.0
60,BOL,Bolivia (Plurinational State of),Lower,27287.0,23242.0,18755.0,13821.0,9795.0,6798.0
61,,Bolivia (Plurinational State of),Median,28917.0,24732.0,20137.0,15285.0,11661.0,9415.0
62,,Bolivia (Plurinational State of),Upper,30660.0,26340.0,21641.0,16876.0,13654.0,12916.0
63,BIH,Bosnia and Herzegovina,Lower,1163.0,641.0,421.0,201.0,296.0,146.0
64,,Bosnia and Herzegovina,Median,1194.0,678.0,440.0,210.0,310.0,169.0
65,,Bosnia and Herzegovina,Upper,1224.0,716.0,455.0,217.0,324.0,193.0
66,BWA,Botswana,Lower,2167.0,2793.0,3066.0,2032.0,1498.0,1249.0
67,,Botswana,Median,2497.0,3247.0,3918.0,3214.0,2719.0,2488.0
68,,Botswana,Upper,2870.0,3781.0,4790.0,4337.0,4275.0,4561.0
69,BRA,Brazil,Lower,201777.0,148897.0,110885.0,70794.0,46696.0,49504.0
70,,Brazil,Median,218720.0,162300.0,121560.0,75911.0,47835.0,52415.0
71,,Brazil,Upper,236812.0,177087.0,132986.0,81406.0,48894.0,55244.0
72,BRN,Brunei Darussalam,Lower,81.0,77.0,60.0,53.0,51.0,66.0
73,,Brunei Darussalam,Median,86.0,82.0,64.0,57.0,55.0,77.0
74,,Brunei Darussalam,Upper,92.0,87.0,68.0,61.0,58.0,89.0
75,BGR,Bulgaria,Lower,2498.0,1650.0,1359.0,1029.0,971.0,579.0
76,,Bulgaria,Median,2559.0,1697.0,1397.0,1057.0,1001.0,634.0
77,,Bulgaria,Upper,2617.0,1733.0,1435.0,1089.0,1036.0,695.0
78,BFA,Burkina Faso,Lower,73327.0,82453.0,86517.0,81881.0,62586.0,44074.0
79,,Burkina Faso,Median,78850.0,88706.0,93999.0,90044.0,72166.0,60477.0
80,,Burkina Faso,Upper,84515.0,95380.0,101962.0,99101.0,83007.0,82386.0
81,BDI,Burundi,Lower,40964.0,40839.0,36857.0,34126.0,28260.0,22209.0
82,,Burundi,Median,45708.0,46224.0,42007.0,40158.0,38779.0,36970.0
83,,Burundi,Upper,51203.0,52836.0,48046.0,46981.0,52838.0,60567.0
84,CPV,Cabo Verde,Lower,831.0,707.0,436.0,295.0,302.0,236.0
85,,Cabo Verde,Median,863.0,730.0,450.0,307.0,314.0,267.0
86,,Cabo Verde,Upper,895.0,754.0,464.0,318.0,327.0,302.0
87,KHM,Cambodia,Lower,37988.0,42763.0,31988.0,19656.0,13788.0,6978.0
88,,Cambodia,Median,41249.0,46309.0,34884.0,22042.0,16171.0,10257.0
89,,Cambodia,Upper,44723.0,50238.0,38398.0,24703.0,19143.0,14929.0
90,CMR,Cameroon,Lower,65329.0,79700.0,85610.0,74421.0,53672.0,40109.0
91,,Cameroon,Median,70624.0,86507.0,94332.0,87618.0,79323.0,71348.0
92,,Cameroon,Upper,76047.0,93893.0,103882.0,102620.0,115174.0,124316.0
93,CAN,Canada,Lower,3114.0,2719.0,1999.0,2075.0,2142.0,1574.0
94,,Canada,Median,3185.0,2754.0,2041.0,2122.0,2201.0,1824.0
95,,Canada,Upper,3229.0,2816.0,2075.0,2154.0,2240.0,2106.0
96,CAF,Central African Republic,Lower,18541.0,19831.0,22140.0,20818.0,17258.0,13744.0
97,,Central African Republic,Median,20684.0,22246.0,24917.0,24279.0,22216.0,21029.0
98,,Central African Republic,Upper,23142.0,24820.0,28079.0,28686.0,29410.0,33049.0
99,TCD,Chad,Lower,55719.0,62716.0,69021.0,73295.0,68116.0,55203.0
100,,Chad,Median,60616.0,68099.0,75614.0,82981.0,85197.0,82728.0
101,,Chad,Upper,66034.0,73987.0,82735.0,93610.0,106743.0,125179.0
102,CHL,Chile,Lower,5448.0,3358.0,2720.0,2187.0,2053.0,1522.0
103,,Chile,Median,5569.0,3440.0,2789.0,2239.0,2104.0,1896.0
104,,Chile,Upper,5709.0,3522.0,2846.0,2289.0,2156.0,2297.0
105,CHN,China,Lower,1503112.0,758604.0,551690.0,380819.0,236021.0,151856.0
106,,China,Median,1633808.0,809206.0,585027.0,406101.0,251554.0,181574.0
107,,China,Upper,1789582.0,862857.0,622283.0,431789.0,268529.0,216426.0
108,COL,Colombia,Lower,28937.0,24926.0,18920.0,16368.0,11531.0,8132.0
109,,Colombia,Median,31105.0,26963.0,20708.0,18364.0,14307.0,11934.0
110,,Colombia,Upper,33479.0,29126.0,22600.0,20726.0,18049.0,17881.0
111,COM,Comoros,Lower,1881.0,1626.0,1597.0,1455.0,1241.0,999.0
112,,Comoros,Median,2133.0,1949.0,2019.0,2125.0,2055.0,1897.0
113,,Comoros,Upper,2404.0,2244.0,2403.0,2969.0,3508.0,3894.0
114,COG,Congo,Lower,7066.0,9337.0,12482.0,10847.0,7229.0,4747.0
115,,Congo,Median,8077.0,10460.0,13918.0,12175.0,8878.0,7269.0
116,,Congo,Upper,9245.0,11727.0,15540.0,13615.0,10890.0,10849.0
117,COK,Cook Islands,Lower,12.0,9.0,6.0,4.0,3.0,2.0
118,,Cook Islands,Median,13.0,10.0,7.0,5.0,4.0,3.0
119,,Cook Islands,Upper,14.0,11.0,8.0,5.0,5.0,4.0
120,CRI,Costa Rica,Lower,1354.0,1207.0,996.0,705.0,744.0,527.0
121,,Costa Rica,Median,1384.0,1237.0,1022.0,724.0,772.0,663.0
122,,Costa Rica,Upper,1421.0,1272.0,1052.0,750.0,798.0,836.0
123,CIV,Cote d'Ivoire,Lower,70392.0,81143.0,86881.0,79840.0,69400.0,58238.0
124,,Cote d'Ivoire,Median,76076.0,87834.0,95242.0,88144.0,79629.0,75393.0
125,,Cote d'Ivoire,Upper,82108.0,95146.0,104604.0,97598.0,91379.0,98204.0
126,HRV,Croatia,Lower,690.0,444.0,425.0,230.0,251.0,147.0
127,,Croatia,Median,714.0,458.0,437.0,240.0,263.0,165.0
128,,Croatia,Upper,730.0,471.0,454.0,248.0,273.0,188.0
129,CUB,Cuba,Lower,2440.0,1524.0,1254.0,866.0,708.0,575.0
130,,Cuba,Median,2496.0,1559.0,1292.0,896.0,736.0,647.0
131,,Cuba,Upper,2569.0,1604.0,1327.0,924.0,759.0,716.0
132,CYP,Cyprus,Lower,147.0,124.0,78.0,53.0,43.0,27.0
133,,Cyprus,Median,156.0,132.0,84.0,57.0,47.0,35.0
134,,Cyprus,Upper,165.0,141.0,89.0,62.0,52.0,45.0
135,CZE,Czech Republic,Lower,2082.0,1099.0,471.0,545.0,467.0,302.0
136,,Czech Republic,Median,2130.0,1128.0,491.0,564.0,486.0,328.0
137,,Czech Republic,Upper,2174.0,1159.0,506.0,586.0,505.0,365.0
